,Volume_x,SMA_50_x,TSI_13_25_13_x,TSIs_13_25_13_x,BBL_5_2.0_x,BBM_5_2.0_x,BBU_5_2.0_x,BBB_5_2.0_x,BBP_5_2.0_x,PVI_1_x,NVI_1_x,ATRr_14_x,ADX_14_x,DMP_14_x,DMN_14_x,INC_1_x,DEC_1_x,VWMA_10_x,MACD_12_26_9_x,MACDh_12_26_9_x,MACDs_12_26_9_x,RSI_14_x,OBV_x,AD_x,AO_5_34_x,score_x,log_ret_x
Volume_y,1.0,0.0909,0.0011,0.0048,0.0045,0.0022,0.0,0.0142,0.0441,0.0077,0.1392,0.001,0.0091,0.0109,0.004,0.1156,0.0995,0.005,0.0024,0.0216,0.0066,0.002,0.0036,0.248,0.0007,0.1389,0.0611
SMA_50_y,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071,0.0,0.0288,0.0,0.1599,0.0,0.0,0.313,0.2381,0.0,0.0,0.7061,0.0,0.0,0.0,0.0,0.0,0.0014,0.0396
TSI_13_25_13_y,0.0052,0.0025,1.0,0.0,0.0004,0.0002,0.0002,0.4804,0.0,0.2955,0.1046,0.046,0.0206,0.0,0.0,0.0,0.0,0.0,0.1113,0.0,0.0,0.0,0.0142,0.1581,0.0081,0.1498,0.0
TSIs_13_25_13_y,0.0024,0.0,0.0,1.0,0.0,0.0,0.0,0.0548,0.0,0.0,0.0,0.0102,0.0321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1729,0.0
BBL_5_2.0_y,0.0012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1138,0.0,0.0443,0.0
BBM_5_2.0_y,0.1123,0.0,0.0,0.0,0.0543,1.0,0.0543,0.0681,0.0,0.0,0.0,0.0535,0.0779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0786,0.0
BBU_5_2.0_y,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0084,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.1112,0.0
BBB_5_2.0_y,0.0,0.0306,0.0498,0.0627,0.0986,0.067,0.048,1.0,0.3316,0.2002,0.0638,0.0,0.3295,0.0109,0.0939,0.5002,0.4575,0.034,0.0176,0.1806,0.0212,0.0493,0.1728,0.0001,0.0329,0.0089,0.3362
BBP_5_2.0_y,0.159,0.0603,0.0174,0.0257,0.0065,0.0051,0.014,0.328,1.0,0.1897,0.7953,0.3864,0.2262,0.1543,0.1395,0.4526,0.3143,0.0077,0.0364,0.0523,0.0668,0.1147,0.0382,0.484,0.1822,0.0209,0.0391
PVI_1_y,0.2073,0.0899,0.1134,0.2033,0.1345,0.0265,0.3446,0.5269,0.1274,1.0,0.0185,0.128,0.0273,0.2235,0.1922,0.4399,0.463,0.1251,0.0415,0.0277,0.0675,0.1492,0.1332,0.2646,0.1236,0.0904,0.0068
NVI_1_y,0.0126,0.0011,0.0056,0.0136,0.0194,0.0029,0.0028,0.7025,0.0101,0.0011,1.0,0.1837,0.1237,0.0015,0.0034,0.1064,0.1069,0.0009,0.0086,0.0154,0.0201,0.0105,0.0069,0.0114,0.0618,0.0425,0.0051
ATRr_14_y,0.0,0.1445,0.041,0.0504,0.0036,0.0343,0.0386,0.035,0.009,0.2804,0.0005,1.0,0.0881,0.0018,0.0844,0.0718,0.0718,0.0319,0.0185,0.008,0.0136,0.0094,0.2723,0.0018,0.0168,0.0569,0.0344
ADX_14_y,0.0026,0.1449,0.1315,0.252,0.0041,0.036,0.2181,0.0,0.0003,0.0014,0.024,0.4182,1.0,0.0396,0.0073,0.3287,0.2612,0.1984,0.0865,0.0,0.1836,0.0002,0.1025,0.2261,0.1905,0.1299,0.0069
DMP_14_y,0.0733,0.0002,0.0,0.0,0.0007,0.0,0.0132,0.124,0.0,0.0,0.0,0.0222,0.0211,1.0,0.0023,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0199,0.1085,0.0
DMN_14_y,0.1681,0.0069,0.0166,0.0398,0.0264,0.0001,0.042,0.4887,0.0,0.0294,0.0942,0.2904,0.6509,0.2251,1.0,0.0001,0.0001,0.0318,0.0017,0.0022,0.0049,0.0019,0.0038,0.0003,0.358,0.2192,0.0001
INC_1_y,0.3134,0.0322,0.1714,0.1573,0.0378,0.046,0.0266,0.1698,0.4051,0.1776,0.1552,0.191,0.3253,0.0515,0.5164,1.0,0.264,0.0086,0.3498,0.315,0.3715,0.4457,0.0089,0.1248,0.0511,0.054,0.3343
DEC_1_y,0.3116,0.0417,0.1457,0.14,0.038,0.0497,0.0293,0.149,0.44,0.1813,0.1853,0.2743,0.3825,0.0391,0.4542,0.3097,1.0,0.0083,0.3059,0.2832,0.3211,0.4257,0.0139,0.1266,0.0374,0.0361,0.3175
VWMA_10_y,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0141,0.2836,0.0341,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0045,0.0,0.0279,0.0
MACD_12_26_9_y,0.0254,0.0007,0.1803,0.0,0.0002,0.0001,0.0,0.6391,0.0,0.1792,0.0876,0.0738,0.0888,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0219,0.1376,0.0303,0.1183,0.0
MACDh_12_26_9_y,0.0057,0.0017,0.0,0.0,0.0,0.0,0.0,0.0891,0.0,0.0599,0.1208,0.0834,0.0095,0.0356,0.0137,0.0,0.0,0.0,0.0,1.0,0.0,0.0029,0.0026,0.2022,0.0,0.0507,0.0
MACDs_12_26_9_y,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0709,0.0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1566,0.0
RSI_14_y,0.0138,0.0285,0.0609,0.0145,0.0732,0.0303,0.0497,0.5694,0.0733,0.2259,0.1772,0.1679,0.2136,0.0845,0.5574,0.6957,0.7975,0.062,0.1289,0.0997,0.1425,1.0,0.0689,0.32,0.3813,0.0599,0.1549
OBV_y,0.158,0.5087,0.0649,0.082,0.1456,0.2091,0.1703,0.2005,0.4928,0.2317,0.0881,0.4911,0.1345,0.039,0.0516,0.6498,0.691,0.1297,0.1129,0.1276,0.1018,0.0913,1.0,0.3591,0.0939,0.0529,0.4875
AD_y,0.0146,0.0529,0.1153,0.2299,0.1083,0.1717,0.2028,0.1111,0.1977,0.0243,0.0009,0.6141,0.4017,0.3675,0.3169,0.6155,0.6083,0.037,0.111,0.2043,0.1671,0.5625,0.704,1.0,0.0598,0.1609,0.239
AO_5_34_y,0.4477,0.0,0.0,0.0,0.0008,0.0,0.0003,0.7862,0.0,0.0,0.0002,0.0004,0.1906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0589,0.0
score_y,0.3374,0.0204,0.0621,0.0107,0.0939,0.0242,0.0436,0.0509,0.0257,0.2596,0.0719,0.0024,0.1027,0.0057,0.06,0.0067,0.0047,0.2383,0.0339,0.1267,0.0151,0.0401,0.0347,0.0027,0.005,1.0,0.0607
log_ret_y,0.0398,0.048,0.1796,0.2013,0.0277,0.0276,0.0347,0.5092,0.2454,0.0892,0.2245,0.1536,0.2598,0.1739,0.4178,0.7367,0.6956,0.0343,0.0391,0.0521,0.0745,0.2287,0.0304,0.1911,0.4208,0.0316,1.0
