Tickr,Model,RMSE,R^2,MAPE,SMAPE

TSLA,LSTM_Univariate_model_test,12.742639852485068,0.9307917318434552,0.0510729494579376,5.119384498088667

TSLA,ANN_model_test,13.595877753772548,0.8629774213750017,0.04642259193976644,4.753921476093398

TSLA,pycaret_regression_model_test,16.111088547358833,0.8075901078225776,0.0564257073972564,5.723201863682471

TSLA,pycaret_ts_model_test,18.06751343092981,-10.531507345884156,0.05447120819306528,NA

F,LSTM_Univariate_model_evaluate,0.5148050483236389,0.8396913842021508,0.031020537453602382,3.092938350403934

F,ANN_model_evaluate,1.2283642488423154,-0.18793794551809162,0.08843331007138253,8.374529703893609

F,pycaret_regression_evaluate,1.7431646775281031,-1.392303356843076,0.12839521144013144,11.878463749036138

GM,LSTM_Univariate_model_evaluate,1.3246995317590091,0.7807988261856225,0.029036958211412625,2.8980788131678112

GM,ANN_model_evaluate,1.6318125569402877,0.7037049952364985,0.0368229574268507,3.6767525706554838

GM,pycaret_regression_evaluate,4.261656302598918,-1.0208804746186364,0.11161757237075712,10.483260354707303

TM,LSTM_Univariate_model_evaluate,3.321005690041605,0.8774730922300854,0.01722857590306807,1.724435296620403

TM,ANN_model_evaluate,4.713687555529924,0.8263048559495529,0.02638866751839794,2.6199146122424914

TM,pycaret_regression_evaluate,7.322407281865675,0.5808457742317295,0.038934019387065144,3.8667567412219723

F,LSTM_Univariate_model_test,0.616511885841431,0.770091950096836,0.03797482019994106,3.862427640030271

F,ANN_model_test,0.7453884047322413,0.6438952543498846,0.047246964973809466,4.842596918657342

F,pycaret_regression_model_test,0.6025683553194946,0.767284609530471,0.036413869985461214,3.670924045563786

F,pycaret_ts_model_test,0.5780417309686158,-10.742258028067278,0.042365940070086074,NA

TSLA,LSTM_Univariate_model_evaluate,15.122515697159626,0.9025263447806335,0.060710820216940346,6.23266082659819

TSLA,ANN_model_evaluate,54.42142573809528,-0.7970786474252454,0.22585832089974436,25.899940460851056

TSLA,pycaret_regression_evaluate,196.0643187734115,-22.325146362368805,0.8992188803484711,163.4789439985972

GM,LSTM_Univariate_model_evaluate,1.5638888789691017,0.69449389554299,0.034200591296602405,3.4707813573554405

GM,ANN_model_evaluate,1.6812969809422866,0.6854623378198824,0.03784843994577463,3.8266422389726342

GM,pycaret_regression_evaluate,18.5885326673132,-37.448022082371665,0.49895825163396756,66.70167124151257

TM,LSTM_Univariate_model_evaluate,3.647467619386702,0.8521997651585296,0.01848426250822737,1.8677161945922407

TM,ANN_model_evaluate,5.1483979392520105,0.7927901919226028,0.026259645856407453,2.6402181377709018

TM,pycaret_regression_evaluate,127.23818010773437,-125.56131655713612,0.8665286677492748,152.91607271445517

GM,LSTM_Univariate_model_test,1.4294849999676278,0.7447490806959629,0.031078921369117458,3.0986246045514685

GM,ANN_model_test,2.1443234562418896,0.3519907825051781,0.05043676762721879,5.228321087214686

GM,pycaret_regression_model_test,2.037125144802345,0.4151613739420923,0.04724302568511045,4.60539988644588

GM,pycaret_ts_model_test,1.5485377727729874,-4.475233132098795,0.037587400479513,NA

TSLA,LSTM_Univariate_model_evaluate,13.208698934628094,0.9256365984546816,0.05387203234343582,5.332970834875008

TSLA,ANN_model_evaluate,17.91095476464369,0.8053453747731473,0.07237486620291382,6.993372387556234

TSLA,pycaret_regression_evaluate,161.16219317258123,-14.759904655105002,0.7240084006097187,114.00923039955512

F,LSTM_Univariate_model_evaluate,0.563692505068183,0.8077989345227797,0.03454601880527025,3.4289415565797277

F,ANN_model_evaluate,0.8953725617293659,0.36882907902762496,0.05703538506270604,5.5065990688976

F,pycaret_regression_evaluate,13.341601807368182,-139.13782241524436,1.0469395756291993,68.50510843946992

TM,LSTM_Univariate_model_evaluate,3.427427636046981,0.8694944977642254,0.017414927640233783,1.7521025313063714

TM,ANN_model_evaluate,8.408070860733204,0.4473389991874478,0.04616885893369413,4.78984727168814

TM,pycaret_regression_evaluate,89.64326830226514,-61.82050895401413,0.6056173529893656,87.02732705248751

TM,LSTM_Univariate_model_test,3.203420638275885,0.8859959782440561,0.01645095219070964,1.6460674016176917

TM,ANN_model_test,5.727799625624382,0.7108695784553467,0.026233762476266236,2.6794911598759437

TSLA,LSTM_Univariate_model_evaluate,11.818640314365249,0.9404647480958827,0.04827214149020656,4.797166405146849

TSLA,ANN_model_evaluate,23.027498045513468,0.6782483655981061,0.09618295827555522,9.379581140670357

TSLA,pycaret_regression_evaluate,161.16219317258123,-14.759904655105002,0.7240084006097187,114.00923039955512

F,LSTM_Univariate_model_evaluate,0.509124721806524,0.8432095373496135,0.030708787882520423,3.0478203897111653

F,ANN_model_evaluate,0.6367842475244123,0.6807550456358336,0.03903204762260972,3.951483987257899

F,pycaret_regression_evaluate,13.341601807368182,-139.13782241524436,1.0469395756291993,68.50510843946992

GM,LSTM_Univariate_model_evaluate,1.3037564551271652,0.7876750388660112,0.028578828294578165,2.8437715283322804

GM,ANN_model_evaluate,1.645625130917091,0.6986677528545084,0.03603881845437713,3.655868787844727

GM,pycaret_regression_evaluate,1.66904901760732,0.6900283551544728,0.032006050167697184,3.1238183047041193
