Date,bv,totalasset,roe,roa,eps,shares,ebitda,debt,dps
2018-09-30,4509000000,29260000000,6.919,1.066,-0.7121,2570000000,604000000,9673000000,3.76381323
2018-12-31,4923000000,29740000000,2.823,0.4674,-0.3909,2590000000,1649000000,9404000000,3.630888031
2019-03-31,4606000000,28910000000,-15.24,-2.428,-0.3815,2610000000,1819000000,9788000000,3.750191571
2019-06-30,5715000000,31870000000,-7.139,-1.28,-0.2539,2690000000,2380000000,11230000000,4.17472119
2019-09-30,6040000000,32800000000,2.235,0.4116,-0.321,2700000000,2226000000,11310000000,4.188888889
2019-12-31,6618000000,34310000000,1.587,0.306,-0.3365,2720000000,2233000000,11630000000,4.275735294
2020-03-31,9173000000,37250000000,0.1744,0.04295,-0.0606,2780000000,3080000000,10730000000,3.85971223
2020-06-30,9855000000,38140000000,1.055,0.2727,0.1269,2790000000,3446000000,10460000000,3.749103943
2020-09-30,16030000000,45690000000,1.871,0.6566,0.1678,2840000000,4047000000,10610000000,3.735915493
2020-12-31,22230000000,52150000000,1.215,0.5178,0.2073,2880000000,4316000000,9607000000,3.335763889
2021-03-31,23020000000,52970000000,1.903,0.8269,0.3308,2890000000,4594000000,9053000000,3.132525952
2021-06-30,24800000000,55150000000,4.604,2.071,0.6375,2950000000,5716000000,7871000000,2.668135593
2021-09-30,27050000000,57830000000,5.981,2.798,1.027,3010000000,7139000000,6438000000,2.138870432
2021-12-31,30190000000,62130000000,7.705,3.744,1.638,3100000000,9407000000,5245000000,1.691935484
2022-03-31,34090000000,66040000000,9.72,5.017,2.464,3110000000,12780000000,3153000000,1.013826367
2022-06-30,36380000000,68510000000,6.202,3.293,2.775,3120000000,14290000000,2898000000,0.928846154
2022-09-30,39850000000,74430000000,8.261,4.423,3.244,3160000000,16120000000,2096000000,0.663291139
2022-12-31,44700000000,82340000000,8.326,4.52,3.625,3160000000,17580000000,1597000000,0.505379747
2023-03-31,48050000000,86830000000,5.24,2.9,3.397,3170000000,16810000000,1272000000,0.40126183
