Trained On,Model,RMSE,R^2,MAPE,SMAPE,Evaluated On

TSLA,LSTM,0.5148050483236389,0.8396913842021508,0.031020537453602382,3.092938350403934,F

TSLA,ANN,1.2283642488423154,-0.18793794551809162,0.08843331007138253,8.374529703893609,F

TSLA,Regression,1.7431646775281031,-1.392303356843076,0.12839521144013144,11.878463749036138,F

TSLA,LSTM,1.3246995317590091,0.7807988261856225,0.029036958211412625,2.8980788131678112,GM

TSLA,ANN,1.6318125569402877,0.7037049952364985,0.0368229574268507,3.6767525706554838,GM

TSLA,Regression,4.261656302598918,-1.0208804746186364,0.11161757237075712,10.483260354707303,GM

TSLA,LSTM,3.321005690041605,0.8774730922300854,0.01722857590306807,1.724435296620403,TM

TSLA,ANN,4.713687555529924,0.8263048559495529,0.02638866751839794,2.6199146122424914,TM

TSLA,Regression,7.322407281865675,0.5808457742317295,0.038934019387065144,3.8667567412219723,TM
